date,strategy_nav,benchmark_nav,strategy_ret,benchmark_ret,picks,cum_picks
2025-10-17,1.0,1.0,0.0,0.0,0,0
2025-11-19,1.0,1.0657073981026879,0.0,6.570739810268789,0,0
2025-12-17,1.0,1.0454544017913558,0.0,-1.9004274857610137,0,0
2026-01-19,1.0,1.1414924971125116,0.0,9.186253858283756,0,0
2026-02-25,1.0,1.1596464205059869,0.0,1.590367298900075,0,0
2026-03-25,1.0,1.0720439643834938,0.0,-7.554238479369402,0,0
