date,value,cash,positions,regime,model,num_positions,ret,cummax,window
2022-01-04,1000000.0,1000000.0,0.0,recovery,5d_10%,0,0.0,1000000.0,2022 Bear
2022-01-05,1002288.14,707420.14,294868.0,sideways,5d_10%,2,0.002288140000000105,1002288.14,2022 Bear
2022-01-06,1011760.14,707420.14,304340.0,bear,5d_10%,2,0.009450376216164846,1011760.14,2022 Bear
2022-01-07,1008120.14,707420.14,300700.0,bear,5d_10%,2,-0.003597690654229546,1011760.14,2022 Bear
2022-01-10,1034389.1315,495600.1315,538789.0,bear,5d_10%,3,0.026057401749755682,1034389.1315,2022 Bear
2022-01-11,1019002.1315,495600.1315,523402.0,bear,5d_10%,3,-0.014875446320367636,1034389.1315,2022 Bear
2022-01-12,1015372.4675,796537.4675,218835.0,bear,5d_10%,1,-0.003561978810247446,1034389.1315,2022 Bear
2022-01-13,969458.31895,698173.31895,271285.0,bear,5d_10%,1,-0.04521902062505945,1034389.1315,2022 Bear
2022-01-14,996755.31895,698173.31895,298582.0,bear,5d_10%,1,0.028156960919748286,1034389.1315,2022 Bear
2022-01-17,1007606.55395,488851.55395,518755.0,bear,5d_10%,2,0.01088655840977193,1034389.1315,2022 Bear
2022-01-18,1059502.55395,488851.55395,570651.0,sideways,5d_10%,2,0.05150423029361839,1059502.55395,2022 Bear
2022-01-19,1116651.55395,488851.55395,627800.0,sideways,5d_10%,2,0.05393946412581929,1116651.55395,2022 Bear
2022-01-20,1154272.37475,647581.37475,506691.0,sideways,5d_10%,2,0.0336907432465583,1154272.37475,2022 Bear
2022-01-21,1177177.36767,910777.36767,266400.0,bear,5d_10%,1,0.01984366378426161,1177177.36767,2022 Bear
2022-01-24,1135463.3900700002,806267.3900700001,329196.0,sideways,5d_10%,2,-0.0354355925841191,1177177.36767,2022 Bear
2022-01-25,1144159.2049500002,969631.20495,174528.0,bear,5d_10%,1,0.007658384194547896,1177177.36767,2022 Bear
2022-01-26,1125386.46495,679454.4649499999,445932.0,bear,5d_10%,2,-0.016407454416119127,1177177.36767,2022 Bear
2022-01-27,1116540.2917499999,1116540.2917499999,0.0,bear,5d_10%,0,-0.00786056477087016,1177177.36767,2022 Bear
2022-01-28,1116540.2917499999,1116540.2917499999,0.0,bear,5d_10%,0,0.0,1177177.36767,2022 Bear
2022-02-07,1116540.2917499999,1116540.2917499999,0.0,bear,5d_10%,0,0.0,1177177.36767,2022 Bear
2022-02-08,1125888.0569499999,781309.0569499999,344579.0,bear,5d_10%,1,0.008372080496395595,1177177.36767,2022 Bear
2022-02-09,1139093.5459499997,547535.5459499998,591558.0,bear,5d_10%,2,0.011728953796501962,1177177.36767,2022 Bear
2022-02-10,1198413.5459499997,547535.5459499998,650878.0,bear,5d_10%,2,0.052076495570455794,1198413.5459499997,2022 Bear
2022-02-11,1184859.5459499997,547535.5459499998,637324.0,bear,5d_10%,2,-0.011309952266315149,1198413.5459499997,2022 Bear
2022-02-14,1172613.4369499998,383392.43694999977,789221.0,bear,5d_10%,3,-0.010335494229555486,1198413.5459499997,2022 Bear
2022-02-15,1129990.1947499998,727351.1947499998,402639.0,bear,5d_10%,2,-0.0363489286894616,1198413.5459499997,2022 Bear
2022-02-16,1138283.02885,682271.0288499999,456012.0,bear,5d_10%,2,0.007338854919741067,1198413.5459499997,2022 Bear
2022-02-17,1133922.1992199998,672013.1992199998,461909.0,sideways,5d_10%,3,-0.003831059164965067,1198413.5459499997,2022 Bear
2022-02-18,1108151.0122499997,963619.0122499998,144532.0,sideways,5d_10%,1,-0.022727473708273438,1198413.5459499997,2022 Bear
2022-02-21,1113211.0122499997,963619.0122499998,149592.0,sideways,5d_10%,1,0.004566164668952544,1198413.5459499997,2022 Bear
2022-02-22,1128343.6138499998,674475.6138499998,453868.0,bear,5d_10%,2,0.013593650649767142,1198413.5459499997,2022 Bear
2022-02-23,1114947.6138499998,674475.6138499998,440472.0,bear,5d_10%,2,-0.011872269967737714,1198413.5459499997,2022 Bear
2022-02-24,1100540.6800099998,810748.6800099998,289792.0,bear,5d_10%,1,-0.012921623994738063,1198413.5459499997,2022 Bear
2022-02-25,1096956.6800099998,810748.6800099998,286208.0,bear,5d_10%,1,-0.003256581119716051,1198413.5459499997,2022 Bear
2022-02-28,1088764.6800099998,810748.6800099998,278016.0,bear,5d_10%,1,-0.0074679339205312445,1198413.5459499997,2022 Bear
