window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio,effective_threshold
2022 Bear,bear,10d_15%,000503.SZ,stop_loss,2022-01-10,2022-01-13,15.67,14.8865,-0.05,-0.0531,19100,0.0031,0.3
2022 Bear,sideways,5d_10%,001227.SZ,matured,2022-01-17,2022-01-24,5.65,6.48,0.14690265486725673,0.14380265486725674,52200,0.0031,0.35
2022 Bear,bear,10d_15%,000711.SZ,stop_loss,2022-01-24,2022-01-25,3.88,3.686,-0.05,-0.0531,158700,0.0031,0.3
2022 Bear,bear,10d_15%,002316.SZ,stop_loss,2022-01-25,2022-01-27,7.23,6.8685,-0.05,-0.0531,41200,0.0031,0.3
2022 Bear,bear,10d_15%,000004.SZ,stop_loss,2022-01-26,2022-01-27,23.0,21.849999999999998,-0.05,-0.0531,9000,0.0031,0.3
2022 Bear,bear,10d_15%,000620.SZ,stop_loss,2022-01-27,2022-02-07,3.2,3.04,-0.05,-0.0531,90600,0.0031,0.3
2022 Bear,bear,10d_15%,000519.SZ,matured,2022-02-08,2022-02-15,18.6,19.58,0.05268817204301057,0.049588172043010574,11500,0.0031,0.3
2022 Bear,bear,10d_15%,002037.SZ,matured,2022-02-09,2022-02-16,16.31,19.28,0.1820968730839978,0.1789968730839978,10100,0.0031,0.3
2022 Bear,bear,10d_15%,002037.SZ,stop_loss,2022-02-24,2022-02-28,13.66,12.977,-0.05,-0.0531,15200,0.0031,0.3
2022 Bear,sideways,5d_10%,001227.SZ,matured,2022-02-22,2022-03-01,5.64,5.61,-0.005319148936170137,-0.008419148936170138,52700,0.0031,0.35
2022 Bear,severe_bear,5d_10%,000953.SZ,matured,2022-03-04,2022-03-11,9.17,9.47,0.03271537622682663,0.029615376226826633,64000,0.0031,0.4
2022 Bear,severe_bear,5d_10%,000788.SZ,matured,2022-03-11,2022-03-18,10.91,14.0,0.2832263978001832,0.2801263978001832,13600,0.0031,0.4
2022 Bear,severe_bear,5d_10%,000619.SZ,stop_loss,2022-03-21,2022-03-22,7.59,7.2105,-0.05,-0.0531,20400,0.0031,0.4
2022 Bear,severe_bear,5d_10%,000797.SZ,matured,2022-04-01,2022-04-12,4.71,4.62,-0.019108280254777066,-0.022208280254777064,65500,0.0031,0.4
2022 Bear,severe_bear,5d_10%,000514.SZ,stop_loss,2022-04-20,2022-04-22,6.01,5.709499999999999,-0.05,-0.0531,25500,0.0031,0.4
2022 Bear,severe_bear,5d_10%,001228.SZ,matured,2022-04-29,2022-05-11,48.25,70.65,0.46424870466321266,0.46114870466321267,3100,0.0031,0.4
2022 Bear,severe_bear,5d_10%,000926.SZ,stop_loss,2022-05-16,2022-05-17,7.2,6.84,-0.05,-0.0531,22500,0.0031,0.4
