window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio,effective_threshold
2022 Bear,bear,5d_10%,000503.SZ,stop_loss,2022-01-11,2022-01-13,16.29,15.475499999999998,-0.05,-0.0531,18400,0.0031,0.35
2022 Bear,sideways,5d_10%,002330.SZ,matured,2022-01-13,2022-01-20,8.86,12.98,0.46501128668171576,0.46191128668171577,33300,0.0031,0.39999999999999997
2022 Bear,sideways,5d_10%,001227.SZ,matured,2022-01-17,2022-01-24,5.65,6.48,0.14690265486725673,0.14380265486725674,36500,0.0031,0.39999999999999997
2022 Bear,bear,5d_10%,000004.SZ,stop_loss,2022-01-26,2022-01-27,23.0,21.849999999999998,-0.05,-0.0531,14900,0.0031,0.35
2022 Bear,bear,5d_10%,002316.SZ,stop_loss,2022-01-27,2022-02-07,5.86,5.567,-0.05,-0.0531,57900,0.0031,0.35
2022 Bear,bear,5d_10%,000620.SZ,matured,2022-02-08,2022-02-15,3.08,3.17,0.02922077922077926,0.02612077922077926,108400,0.0031,0.35
2022 Bear,sideways,5d_10%,000620.SZ,stop_loss,2022-02-16,2022-02-17,3.19,3.0305,-0.05,-0.0531,105500,0.0031,0.39999999999999997
2022 Bear,bear,5d_10%,002037.SZ,stop_loss,2022-02-22,2022-02-24,16.55,15.7225,-0.05,-0.0531,10000,0.0031,0.35
2022 Bear,sideways,5d_10%,001227.SZ,matured,2022-02-22,2022-03-01,5.64,5.61,-0.005319148936170137,-0.008419148936170138,29300,0.0031,0.39999999999999997
2022 Bear,severe_bear,5d_10%,000950.SZ,stop_loss,2022-03-07,2022-03-08,6.29,5.975499999999999,-0.05,-0.0531,20800,0.0031,0.45
2022 Bear,severe_bear,5d_10%,000953.SZ,matured,2022-03-04,2022-03-11,9.17,9.47,0.03271537622682663,0.029615376226826633,71600,0.0031,0.45
2022 Bear,severe_bear,5d_10%,000619.SZ,stop_loss,2022-03-21,2022-03-22,7.59,7.2105,-0.05,-0.0531,21800,0.0031,0.45
2022 Bear,severe_bear,5d_10%,000797.SZ,matured,2022-04-01,2022-04-12,4.71,4.62,-0.019108280254777066,-0.022208280254777064,69900,0.0031,0.45
