window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio
2022 Bear,recovery,5d_10%,001270.SZ,stop_loss,2022-07-05,2022-07-11,91.05,86.49749999999999,-0.05,-0.0531,900,0.0031
2022 Bear,recovery,5d_10%,000957.SZ,stop_loss,2022-07-07,2022-07-11,19.11,18.1545,-0.05,-0.0531,73400,0.0031
2022 Bear,recovery,5d_10%,001309.SZ,stop_loss,2022-07-08,2022-07-11,67.69,64.3055,-0.05,-0.0531,8900,0.0031
2022 Bear,recovery,5d_10%,001318.SZ,matured,2022-07-05,2022-07-12,19.22,19.17,-0.002601456815816694,-0.005701456815816694,4300,0.0031
2022 Bear,sideways,5d_10%,002591.SZ,stop_loss,2022-07-18,2022-07-19,9.99,9.490499999999999,-0.05,-0.0531,132900,0.0031
2022 Bear,bear,5d_10%,000957.SZ,matured,2022-07-22,2022-07-29,18.18,17.71,-0.02585258525852574,-0.02895258525852574,70700,0.0031
2022 Bear,bear,5d_10%,000837.SZ,stop_loss,2022-07-29,2022-08-01,12.31,11.6945,-0.05,-0.0531,33800,0.0031
2022 Bear,bear,5d_10%,001336.SZ,matured,2022-07-25,2022-08-01,36.37,36.51,0.003849326367885597,0.0007493263678855972,14100,0.0031
2022 Bear,bear,5d_10%,001258.SZ,matured,2022-07-27,2022-08-03,5.36,7.85,0.46455223880596996,0.46145223880596997,38400,0.0031
2022 Bear,bear,5d_10%,001258.SZ,matured,2022-08-03,2022-08-10,8.64,12.65,0.46412037037037024,0.46102037037037025,37800,0.0031
2022 Bear,bear,5d_10%,001226.SZ,matured,2022-08-03,2022-08-10,34.22,34.76,0.015780245470485177,0.012680245470485177,9500,0.0031
2022 Bear,sideways,5d_10%,001258.SZ,matured,2022-08-10,2022-08-17,13.92,18.34,0.31752873563218387,0.3144287356321839,50300,0.0031
2022 Bear,sideways,5d_10%,001330.SZ,matured,2022-08-18,2022-08-25,7.96,11.66,0.46482412060301503,0.46172412060301504,96200,0.0031
2022 Bear,sideways,5d_10%,000045.SZ,matured,2022-08-18,2022-08-25,10.6,10.62,0.0018867924528300772,-0.0012132075471699227,72200,0.0031
2022 Bear,sideways,5d_10%,001330.SZ,matured,2022-08-25,2022-09-01,12.83,13.8,0.07560405300077955,0.07250405300077954,67900,0.0031
2022 Bear,sideways,5d_10%,001258.SZ,matured,2022-08-25,2022-09-01,14.31,15.95,0.11460517120894465,0.11150517120894464,60900,0.0031
2022 Bear,sideways,5d_10%,000892.SZ,stop_loss,2022-08-31,2022-09-06,5.35,5.0825,-0.05,-0.0531,65000,0.0031
2022 Bear,sideways,5d_10%,001283.SZ,stop_loss,2022-09-05,2022-09-06,82.67,78.5365,-0.05,-0.0531,8600,0.0031
2022 Bear,sideways,5d_10%,001259.SZ,matured,2022-08-31,2022-09-07,31.28,31.8,0.01662404092071612,0.01352404092071612,11100,0.0031
2022 Bear,bear,5d_10%,000510.SZ,stop_loss,2022-09-20,2022-09-21,7.82,7.429,-0.05,-0.0531,80900,0.0031
2022 Bear,bear,5d_10%,001330.SZ,matured,2022-09-16,2022-09-23,10.59,10.42,-0.016052880075542952,-0.01915288007554295,85300,0.0031
2022 Bear,bear,5d_10%,001332.SZ,stop_loss,2022-09-22,2022-09-28,82.37,78.25150000000001,-0.05,-0.0531,5200,0.0031
2022 Bear,bear,5d_10%,003027.SZ,matured,2022-09-21,2022-09-28,23.73,27.47,0.15760640539401605,0.15450640539401606,26200,0.0031
2022 Bear,bear,5d_10%,001259.SZ,stop_loss,2022-09-29,2022-09-30,32.99,31.3405,-0.05,-0.0531,27600,0.0031
2022 Bear,bear,5d_10%,001255.SZ,matured,2022-09-30,2022-10-14,31.32,33.05,0.05523627075351212,0.05213627075351212,9500,0.0031
2022 Bear,bear,5d_10%,001269.SZ,matured,2022-09-30,2022-10-14,24.79,36.3,0.46430012101653895,0.46120012101653896,12000,0.0031
2022 Bear,bear,5d_10%,001259.SZ,matured,2022-09-30,2022-10-14,31.2,32.15,0.03044871794871784,0.027348717948717842,9500,0.0031
2022 Bear,bear,5d_10%,001269.SZ,matured,2022-10-14,2022-10-21,39.93,58.45,0.4638116704232407,0.4607116704232407,23600,0.0031
2022 Bear,severe_bear,5d_10%,002253.SZ,stop_loss,2022-11-02,2022-11-03,17.56,16.682,-0.05,-0.0531,61200,0.0031
