date,value,cash,positions,regime,model,num_positions,ret,cummax,window
2022-01-04,1000000.0,1000000.0,0.0,recovery,5d_10%,0,0.0,1000000.0,2022 Bear
2022-01-05,1002288.14,707420.14,294868.0,sideways,5d_10%,2,0.002288140000000105,1002288.14,2022 Bear
2022-01-06,1011760.14,707420.14,304340.0,bear,10d_15%,2,0.009450376216164846,1011760.14,2022 Bear
2022-01-07,1008120.14,707420.14,300700.0,bear,10d_15%,2,-0.003597690654229546,1011760.14,2022 Bear
2022-01-10,1034389.1315,495600.1315,538789.0,bear,10d_15%,3,0.026057401749755682,1034389.1315,2022 Bear
2022-01-11,1019002.1315,495600.1315,523402.0,bear,10d_15%,3,-0.014875446320367636,1034389.1315,2022 Bear
2022-01-12,1015372.4675,796537.4675,218835.0,bear,10d_15%,1,-0.003561978810247446,1034389.1315,2022 Bear
2022-01-13,997143.4755500001,997143.4755500001,0.0,bear,10d_15%,0,-0.017953009888954763,1034389.1315,2022 Bear
2022-01-14,997143.4755500001,997143.4755500001,0.0,bear,10d_15%,0,0.0,1034389.1315,2022 Bear
2022-01-17,969775.9250500001,697869.9250500001,271906.0,bear,10d_15%,1,-0.027445950528738883,1034389.1315,2022 Bear
2022-01-18,991353.22505,488598.22505000007,502755.0,sideways,5d_10%,2,0.022249778987746494,1034389.1315,2022 Bear
2022-01-19,1041836.22505,488598.22505000007,553238.0,sideways,5d_10%,2,0.05092332250944542,1041836.22505,2022 Bear
2022-01-20,1084223.69705,341847.6970500001,742376.0,sideways,5d_10%,3,0.04068535051943112,1084223.69705,2022 Bear
2022-01-21,1083629.07945,480829.0794500001,602800.0,bear,10d_15%,2,-0.0005484270465752061,1084223.69705,2022 Bear
2022-01-24,1030438.0816500001,578092.0816500001,452346.0,sideways,5d_10%,3,-0.04908598228740535,1084223.69705,2022 Bear
2022-01-25,1016912.5050100001,893288.5050100001,123624.0,bear,10d_15%,1,-0.013126045010236842,1084223.69705,2022 Bear
2022-01-26,1001555.6650100001,626141.6650100001,375414.0,bear,10d_15%,2,-0.015101436873223406,1084223.69705,2022 Bear
2022-01-27,994087.6679100001,994087.6679100001,0.0,bear,10d_15%,0,-0.007456397443396656,1084223.69705,2022 Bear
2022-01-28,994087.6679100001,994087.6679100001,0.0,bear,10d_15%,0,0.0,1084223.69705,2022 Bear
2022-02-07,994087.6679100001,994087.6679100001,0.0,bear,10d_15%,0,0.0,1084223.69705,2022 Bear
2022-02-08,995300.7879100001,696100.7879100001,299200.0,bear,10d_15%,1,0.001220335025934327,1084223.69705,2022 Bear
2022-02-09,985045.3895100001,487061.3895100001,497984.0,bear,10d_15%,2,-0.01030381822718629,1084223.69705,2022 Bear
2022-02-10,993780.6896100001,340948.6896100001,652832.0,bear,10d_15%,3,0.008867916334642567,1084223.69705,2022 Bear
2022-02-11,993118.0112800001,479326.0112800001,513792.0,bear,10d_15%,2,-0.000666825524915482,1084223.69705,2022 Bear
2022-02-14,986405.2662800001,335489.2662800001,650916.0,bear,10d_15%,3,-0.006759262165981772,1084223.69705,2022 Bear
2022-02-15,1013859.3622800001,648205.3622800001,365654.0,bear,10d_15%,2,0.027832471032455786,1084223.69705,2022 Bear
2022-02-16,1037005.1510800001,894545.1510800001,142460.0,bear,10d_15%,1,0.022829388040515708,1084223.69705,2022 Bear
2022-02-17,1048015.3019800001,627391.3019800001,420624.0,sideways,5d_10%,3,0.010617257675657132,1084223.69705,2022 Bear
2022-02-18,1024254.10721,890719.10721,133535.0,sideways,5d_10%,1,-0.022672564727927558,1084223.69705,2022 Bear
2022-02-21,1033730.3192100001,623612.3192100001,410118.0,sideways,5d_10%,2,0.00925181742820902,1084223.69705,2022 Bear
2022-02-22,1040097.3192100001,623612.3192100001,416485.0,bear,10d_15%,2,0.006159246644585004,1084223.69705,2022 Bear
2022-02-23,1027690.3192100001,623612.3192100001,404078.0,bear,10d_15%,2,-0.011928691451126627,1084223.69705,2022 Bear
2022-02-24,1014404.78251,749516.78251,264888.0,bear,10d_15%,1,-0.012927568209665341,1084223.69705,2022 Bear
2022-02-25,1011128.78251,749516.78251,261612.0,bear,10d_15%,1,-0.003229480042369337,1084223.69705,2022 Bear
2022-02-28,1002482.62291,1002482.62291,0.0,bear,10d_15%,0,-0.008550997409585204,1084223.69705,2022 Bear
2022-03-01,983754.64631,702110.64631,281644.0,sideways,5d_10%,1,-0.018681597238699887,1084223.69705,2022 Bear
