window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio
2022 Bear,bull,5d_10%,001226.SZ,matured,2022-06-22,2022-06-29,39.06,52.18,0.33589349718381967,0.3327934971838197,15000,0.0031
2022 Bear,bull,5d_10%,001270.SZ,matured,2022-06-22,2022-06-29,99.5,100.0,0.005025125628140614,0.0019251256281406144,5800,0.0031
2022 Bear,bull,5d_10%,002168.SZ,stop_loss,2022-06-28,2022-06-30,4.18,3.9709999999999996,-0.05,-0.0531,26700,0.0031
2022 Bear,bull,5d_10%,001270.SZ,stop_loss,2022-07-04,2022-07-05,98.02,93.11899999999999,-0.05,-0.0531,500,0.0031
2022 Bear,bull,5d_10%,000970.SZ,matured,2022-06-28,2022-07-05,18.1,18.49,0.021546961325966674,0.018446961325966675,6100,0.0031
2022 Bear,bull,5d_10%,002090.SZ,stop_loss,2022-07-06,2022-07-07,13.03,12.378499999999999,-0.05,-0.0531,2200,0.0031
2022 Bear,bull,5d_10%,001268.SZ,matured,2022-06-30,2022-07-07,30.49,37.21,0.22040013119055435,0.21730013119055436,43400,0.0031
2022 Bear,bull,5d_10%,001309.SZ,matured,2022-07-01,2022-07-08,42.04,61.55,0.46408182683158894,0.46098182683158895,6300,0.0031
2022 Bear,recovery,5d_10%,000957.SZ,stop_loss,2022-07-07,2022-07-11,19.11,18.1545,-0.05,-0.0531,68900,0.0031
2022 Bear,recovery,5d_10%,001309.SZ,stop_loss,2022-07-08,2022-07-11,67.69,64.3055,-0.05,-0.0531,8400,0.0031
2022 Bear,recovery,5d_10%,001318.SZ,matured,2022-07-05,2022-07-12,19.22,19.17,-0.002601456815816694,-0.005701456815816694,7300,0.0031
2022 Bear,sideways,5d_10%,002591.SZ,stop_loss,2022-07-18,2022-07-19,9.99,9.490499999999999,-0.05,-0.0531,31100,0.0031
2022 Bear,sideways,5d_10%,002330.SZ,stop_loss,2022-07-18,2022-07-22,8.43,8.0085,-0.05,-0.0531,36900,0.0031
2022 Bear,sideways,5d_10%,002168.SZ,stop_loss,2022-07-21,2022-07-25,5.9,5.605,-0.05,-0.0531,44300,0.0031
2022 Bear,sideways,5d_10%,002037.SZ,stop_loss,2022-07-22,2022-07-25,11.62,11.038999999999998,-0.05,-0.0531,39100,0.0031
2022 Bear,sideways,5d_10%,002316.SZ,matured,2022-07-21,2022-07-28,3.46,3.91,0.13005780346820806,0.12695780346820806,75600,0.0031
2022 Bear,bear,10d_15%,000821.SZ,stop_loss,2022-07-28,2022-07-29,24.6,23.37,-0.05,-0.0531,18400,0.0031
2022 Bear,bear,10d_15%,001258.SZ,matured,2022-07-27,2022-08-03,5.36,7.85,0.46455223880596996,0.46145223880596997,97400,0.0031
2022 Bear,bear,10d_15%,001226.SZ,matured,2022-08-02,2022-08-09,34.47,34.7,0.006672468813461174,0.0035724688134611744,12900,0.0031
2022 Bear,bear,10d_15%,001258.SZ,matured,2022-08-03,2022-08-10,8.64,12.65,0.46412037037037024,0.46102037037037025,62700,0.0031
2022 Bear,sideways,5d_10%,000536.SZ,stop_loss,2022-08-15,2022-08-16,2.65,2.5174999999999996,-0.05,-0.0531,198300,0.0031
2022 Bear,sideways,5d_10%,001258.SZ,matured,2022-08-10,2022-08-17,13.92,18.34,0.31752873563218387,0.3144287356321839,53900,0.0031
2022 Bear,sideways,5d_10%,301306.SZ,stop_loss,2022-08-24,2022-08-25,48.41,45.98949999999999,-0.05,-0.0531,11700,0.0031
2022 Bear,sideways,5d_10%,001330.SZ,matured,2022-08-18,2022-08-25,7.96,11.66,0.46482412060301503,0.46172412060301504,51000,0.0031
2022 Bear,sideways,5d_10%,000045.SZ,matured,2022-08-18,2022-08-25,10.6,10.62,0.0018867924528300772,-0.0012132075471699227,38300,0.0031
2022 Bear,sideways,5d_10%,001330.SZ,matured,2022-08-25,2022-09-01,12.83,13.8,0.07560405300077955,0.07250405300077954,33500,0.0031
2022 Bear,sideways,5d_10%,001258.SZ,matured,2022-08-25,2022-09-01,14.31,15.95,0.11460517120894465,0.11150517120894464,30000,0.0031
