window,symbol,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio
2022 Bear,002037.SZ,2022-02-08,2022-02-15,14.83,17.53,0.18206338503034392,0.17896338503034392,6100,0.0031
2022 Bear,000519.SZ,2022-02-08,2022-02-15,18.6,19.58,0.05268817204301057,0.049588172043010574,4900,0.0031
2022 Bear,002316.SZ,2022-02-08,2022-02-15,6.29,6.18,-0.01748807631160576,-0.02058807631160576,14500,0.0031
2022 Bear,001296.SZ,2022-02-08,2022-02-15,37.22,37.1,-0.003224073078989753,-0.0063240730789897535,2400,0.0031
2022 Bear,000608.SZ,2022-02-08,2022-02-15,3.49,3.53,0.011461318051575908,0.008361318051575908,26200,0.0031
2022 Bear,000933.SZ,2022-02-08,2022-02-15,13.07,12.4,-0.051262433052792655,-0.054362433052792654,7000,0.0031
2022 Bear,002330.SZ,2022-02-15,2022-02-22,8.37,7.83,-0.06451612903225801,-0.06761612903225801,11200,0.0031
2022 Bear,000620.SZ,2022-02-15,2022-02-22,3.2,3.18,-0.006249999999999978,-0.009349999999999978,29400,0.0031
2022 Bear,002316.SZ,2022-02-15,2022-02-22,6.3,6.51,0.03333333333333344,0.03023333333333344,14900,0.0031
2022 Bear,002037.SZ,2022-02-15,2022-02-22,17.77,17.89,0.006752954417557744,0.003652954417557744,5300,0.0031
2022 Bear,000711.SZ,2022-02-15,2022-02-22,4.35,4.22,-0.029885057471264354,-0.03298505747126435,21600,0.0031
2022 Bear,001296.SZ,2022-02-15,2022-02-22,36.8,37.72,0.025000000000000133,0.021900000000000135,2500,0.0031
2022 Bear,000856.SZ,2022-02-15,2022-02-22,12.21,11.76,-0.03685503685503699,-0.03995503685503699,7700,0.0031
2022 Bear,000665.SZ,2022-02-15,2022-02-22,8.74,7.82,-0.10526315789473684,-0.10836315789473684,10800,0.0031
2022 Bear,000915.SZ,2022-02-15,2022-02-22,33.85,34.84,0.029246676514032455,0.026146676514032456,2700,0.0031
2022 Bear,002178.SZ,2022-02-15,2022-02-22,4.98,6.39,0.2831325301204817,0.25,18900,0.0031
2022 Bear,001227.SZ,2022-02-22,2022-03-01,5.64,5.61,-0.005319148936170137,-0.008419148936170138,16900,0.0031
2022 Bear,002037.SZ,2022-02-22,2022-03-01,16.55,13.19,-0.20302114803625382,-0.2061211480362538,5700,0.0031
2022 Bear,002178.SZ,2022-02-22,2022-03-01,6.74,5.28,-0.21661721068249262,-0.21971721068249261,14100,0.0031
2022 Bear,000739.SZ,2022-02-22,2022-03-01,26.42,29.24,0.10673732021196058,0.10363732021196058,3600,0.0031
2022 Bear,000856.SZ,2022-02-22,2022-03-01,11.45,10.03,-0.12401746724890828,-0.12711746724890827,8300,0.0031
2022 Bear,000620.SZ,2022-02-22,2022-03-01,3.22,2.92,-0.0931677018633541,-0.09626770186335411,29600,0.0031
2022 Bear,000711.SZ,2022-02-22,2022-03-01,4.29,3.83,-0.10722610722610726,-0.11032610722610726,22200,0.0031
2022 Bear,002316.SZ,2022-02-22,2022-03-01,6.64,5.95,-0.10391566265060237,-0.10701566265060238,14300,0.0031
2022 Bear,002371.SZ,2022-02-22,2022-03-01,266.01,303.1,0.13943084846434362,0.13633084846434362,300,0.0031
2022 Bear,300327.SZ,2022-02-22,2022-03-01,52.12,56.32,0.08058326937835769,0.07748326937835769,1800,0.0031
2022 Bear,000838.SZ,2022-02-23,2022-03-02,7.2,8.95,0.24305555555555536,0.23995555555555537,200,0.0031
2022 Bear,000509.SZ,2022-02-23,2022-03-02,4.75,4.4,-0.07368421052631569,-0.07678421052631569,400,0.0031
2022 Bear,000607.SZ,2022-02-23,2022-03-02,5.78,5.54,-0.04152249134948105,-0.04462249134948105,300,0.0031
2022 Bear,000766.SZ,2022-02-23,2022-03-02,4.82,5.06,0.04979253112033177,0.046692531120331775,400,0.0031
2022 Bear,000665.SZ,2022-02-23,2022-03-02,8.06,7.3,-0.09429280397022344,-0.09739280397022344,200,0.0031
2022 Bear,000681.SZ,2022-02-23,2022-03-02,16.19,16.14,-0.0030883261272390827,-0.006188326127239083,100,0.0031
2022 Bear,000810.SZ,2022-02-23,2022-03-02,11.77,13.76,0.1690739167374682,0.1659739167374682,100,0.0031
2022 Bear,000503.SZ,2022-02-23,2022-03-02,12.43,12.78,0.028157683024939706,0.025057683024939707,100,0.0031
2022 Bear,000925.SZ,2022-02-23,2022-03-02,10.16,9.89,-0.026574803149606252,-0.02967480314960625,100,0.0031
2022 Bear,001227.SZ,2022-03-01,2022-03-08,5.52,5.34,-0.032608695652173836,-0.035708695652173834,16000,0.0031
2022 Bear,001289.SZ,2022-03-01,2022-03-08,25.51,28.84,0.13053704429635427,0.12743704429635427,3400,0.0031
2022 Bear,002037.SZ,2022-03-01,2022-03-08,13.0,11.85,-0.08846153846153848,-0.09156153846153849,6800,0.0031
2022 Bear,002148.SZ,2022-03-01,2022-03-08,6.15,5.81,-0.05528455284552858,-0.05838455284552858,14400,0.0031
2022 Bear,000953.SZ,2022-03-01,2022-03-08,6.17,10.09,0.6353322528363048,0.25,14300,0.0031
2022 Bear,001296.SZ,2022-03-01,2022-03-08,36.22,42.94,0.1855328547763666,0.18243285477636662,2400,0.0031
2022 Bear,601069.SH,2022-03-01,2022-03-08,18.06,16.93,-0.06256921373200441,-0.06566921373200442,4900,0.0031
2022 Bear,000729.SZ,2022-03-01,2022-03-08,8.37,7.55,-0.09796893667861406,-0.10106893667861407,10600,0.0031
2022 Bear,000826.SZ,2022-03-01,2022-03-08,4.01,3.44,-0.14214463840398994,-0.14524463840398993,22100,0.0031
2022 Bear,000862.SZ,2022-03-01,2022-03-08,8.66,9.28,0.07159353348729791,0.0684935334872979,10200,0.0031
2022 Bear,000838.SZ,2022-03-02,2022-03-09,9.3,8.53,-0.08279569892473138,-0.08589569892473138,200,0.0031
2022 Bear,002178.SZ,2022-03-02,2022-03-09,5.85,6.89,0.1777777777777778,0.17467777777777782,300,0.0031
2022 Bear,000620.SZ,2022-03-02,2022-03-09,3.05,2.66,-0.12786885245901625,-0.13096885245901624,600,0.0031
2022 Bear,002279.SZ,2022-03-02,2022-03-09,5.89,5.29,-0.1018675721561969,-0.10496757215619691,300,0.0031
2022 Bear,000810.SZ,2022-03-02,2022-03-09,13.76,12.93,-0.06031976744186052,-0.06341976744186052,100,0.0031
2022 Bear,000683.SZ,2022-03-02,2022-03-09,9.75,9.16,-0.060512820512820475,-0.06361282051282048,200,0.0031
2022 Bear,000933.SZ,2022-03-02,2022-03-09,14.24,12.99,-0.0877808988764045,-0.0908808988764045,100,0.0031
