date,window,value,equity,return,drawdown,daily_ret,cummax
2022-01-04,2022 Bear,981154.6037999999,1.0,0.0,0.0,0.0,981154.6037999999
2022-01-11,2022 Bear,1041336.9387999998,1.061338279173246,0.06133827917324597,0.0,0.06133827917324597,1041336.9387999998
2022-01-18,2022 Bear,1012098.5931999998,1.0315383419495299,-0.02807769945594485,-0.02807769945594485,-0.02807769945594485,1041336.9387999998
2022-01-25,2022 Bear,979575.4858999996,0.9983905514035358,-0.032134327148079844,-0.059309768624141834,-0.032134327148079844,1041336.9387999998
2022-02-08,2022 Bear,899990.7309999997,0.9172771829376802,-0.08124412671156245,-0.13573532497837104,-0.08124412671156245,1041336.9387999998
2022-02-15,2022 Bear,940618.2416999997,0.9586850411311292,0.045142143469475426,-0.09672056502294524,0.045142143469475426,1041336.9387999998
2022-02-22,2022 Bear,954744.1027999998,0.9730822228243005,0.015017634651088851,-0.08315544448061796,0.015017634651088851,1041336.9387999998
2022-02-23,2022 Bear,961036.3330999997,0.9794953102986191,0.006590488782854509,-0.07711299072184619,0.006590488782854509,1041336.9387999998
2022-03-01,2022 Bear,907427.5884999997,0.9248568828862889,-0.05578222461899551,-0.12859368117135317,-0.05578222461899551,1041336.9387999998
2022-03-02,2022 Bear,914664.5021999996,0.9322327986410246,0.007975196910160909,-0.12164404418993624,0.007975196910160909,1041336.9387999998
2022-03-08,2022 Bear,944581.4750999995,0.9627243978080996,0.032708138151247734,-0.09291465624132944,0.032708138151247734,1041336.9387999998
2022-03-09,2022 Bear,951857.9638999995,0.9701406487962907,0.007703399856777482,-0.08592701513413392,0.007703399856777482,1041336.9387999998
2022-03-10,2022 Bear,969055.7325999995,0.9876687413450015,0.01806757872733078,-0.0694119295175436,0.01806757872733078,1041336.9387999998
2022-03-15,2022 Bear,876614.9309999995,0.8934523953767128,-0.0953926575017302,-0.15818319860027252,-0.0953926575017302,1041336.9387999998
2022-03-16,2022 Bear,898669.8237999995,0.9159309045888,0.025159157139658772,-0.13700379741105195,0.025159157139658772,1041336.9387999998
2022-03-17,2022 Bear,911115.4292999996,0.9286155573966228,0.013848918891450124,-0.12505223299776813,0.013848918891450124,1041336.9387999998
2022-03-22,2022 Bear,978978.9734999996,0.9977825815711672,0.07448402476526916,-0.05988260185205696,0.07448402476526916,1041336.9387999998
2022-03-23,2022 Bear,957764.0461999996,0.9761601713843986,-0.021670462670054458,-0.08025538083409067,-0.021670462670054458,1041336.9387999998
2022-03-24,2022 Bear,952613.5238999996,0.9709107211142249,-0.005377652586182502,-0.08520144786397565,-0.005377652586182502,1041336.9387999998
2022-03-29,2022 Bear,951631.0539999995,0.9699093805546486,-0.0010313415412976923,-0.08614491761271248,-0.0010313415412976923,1041336.9387999998
