window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio,effective_threshold
2022 Bear,bear,10d_15%,__MARKET_SHOCK__,shock_filter,2022-08-02,2022-08-02,0.0,0.0,0.0,0.0,0,0.0,0.35
2022 Bear,bear,10d_15%,001258.SZ,matured,2022-07-27,2022-08-03,5.36,7.85,0.46455223880596996,0.46145223880596997,122100,0.0031,0.35
2022 Bear,bear,10d_15%,__MARKET_SHOCK__,shock_filter,2022-08-03,2022-08-03,0.0,0.0,0.0,0.0,0,0.0,0.35
2022 Bear,sideways,5d_10%,001258.SZ,matured,2022-08-04,2022-08-11,9.5,13.92,0.4652631578947368,0.46216315789473683,95700,0.0031,0.39999999999999997
2022 Bear,bear,10d_15%,__MARKET_SHOCK__,shock_filter,2022-08-24,2022-08-24,0.0,0.0,0.0,0.0,0,0.0,0.35
2022 Bear,sideways,5d_10%,001330.SZ,matured,2022-08-18,2022-08-25,7.96,11.66,0.46482412060301503,0.46172412060301504,130100,0.0031,0.39999999999999997
2022 Bear,sideways,5d_10%,000045.SZ,matured,2022-08-18,2022-08-25,10.6,10.62,0.0018867924528300772,-0.0012132075471699227,97700,0.0031,0.39999999999999997
2022 Bear,sideways,5d_10%,001330.SZ,matured,2022-08-25,2022-09-01,12.83,13.8,0.07560405300077955,0.07250405300077954,183700,0.0031,0.39999999999999997
2022 Bear,sideways,5d_10%,001283.SZ,stop_loss,2022-09-05,2022-09-06,82.67,78.5365,-0.05,-0.0531,8000,0.0031,0.39999999999999997
2022 Bear,sideways,5d_10%,001259.SZ,matured,2022-08-31,2022-09-07,31.28,31.8,0.01662404092071612,0.01352404092071612,30000,0.0031,0.39999999999999997
2022 Bear,sideways,5d_10%,301306.SZ,matured,2022-09-02,2022-09-09,43.46,47.32,0.08881730326737225,0.08571730326737224,21800,0.0031,0.39999999999999997
2022 Bear,bear,10d_15%,__MARKET_SHOCK__,shock_filter,2022-09-19,2022-09-19,0.0,0.0,0.0,0.0,0,0.0,0.35
2022 Bear,bear,10d_15%,__MARKET_SHOCK__,shock_filter,2022-09-20,2022-09-20,0.0,0.0,0.0,0.0,0,0.0,0.35
2022 Bear,bear,10d_15%,__MARKET_SHOCK__,shock_filter,2022-09-21,2022-09-21,0.0,0.0,0.0,0.0,0,0.0,0.35
2022 Bear,bear,10d_15%,__MARKET_SHOCK__,shock_filter,2022-09-22,2022-09-22,0.0,0.0,0.0,0.0,0,0.0,0.35
2022 Bear,bear,10d_15%,001330.SZ,stop_loss,2022-09-23,2022-09-29,10.44,9.918,-0.05,-0.0531,119400,0.0031,0.35
2022 Bear,bear,10d_15%,__MARKET_SHOCK__,shock_filter,2022-10-10,2022-10-10,0.0,0.0,0.0,0.0,0,0.0,0.3
2022 Bear,bear,10d_15%,__MARKET_SHOCK__,shock_filter,2022-10-11,2022-10-11,0.0,0.0,0.0,0.0,0,0.0,0.3
2022 Bear,bear,10d_15%,001255.SZ,matured,2022-09-30,2022-10-14,31.32,33.05,0.05523627075351212,0.05213627075351212,19500,0.0031,0.3
2022 Bear,bear,10d_15%,001269.SZ,matured,2022-09-30,2022-10-14,24.79,36.3,0.46430012101653895,0.46120012101653896,24700,0.0031,0.3
2022 Bear,bear,10d_15%,001269.SZ,matured,2022-10-14,2022-10-21,39.93,58.45,0.4638116704232407,0.4607116704232407,33000,0.0031,0.3
2022 Bear,severe_bear,5d_10%,__MARKET_SHOCK__,shock_filter,2022-10-24,2022-10-24,0.0,0.0,0.0,0.0,0,0.0,0.4
2022 Bear,severe_bear,5d_10%,001259.SZ,stop_loss,2022-10-21,2022-10-25,29.9,28.404999999999998,-0.05,-0.0531,50200,0.0031,0.4
2022 Bear,severe_bear,5d_10%,__MARKET_SHOCK__,shock_filter,2022-10-25,2022-10-25,0.0,0.0,0.0,0.0,0,0.0,0.4
2022 Bear,severe_bear,5d_10%,__MARKET_SHOCK__,shock_filter,2022-10-26,2022-10-26,0.0,0.0,0.0,0.0,0,0.0,0.4
2022 Bear,severe_bear,5d_10%,__MARKET_SHOCK__,shock_filter,2022-10-27,2022-10-27,0.0,0.0,0.0,0.0,0,0.0,0.4
2022 Bear,severe_bear,5d_10%,__MARKET_SHOCK__,shock_filter,2022-10-28,2022-10-28,0.0,0.0,0.0,0.0,0,0.0,0.4
2022 Bear,severe_bear,5d_10%,__MARKET_SHOCK__,shock_filter,2022-10-31,2022-10-31,0.0,0.0,0.0,0.0,0,0.0,0.4
2022 Bear,sideways,5d_10%,000153.SZ,stop_loss,2022-11-15,2022-11-16,11.83,11.2385,-0.05,-0.0531,125000,0.0031,0.35
2022 Bear,sideways,5d_10%,000863.SZ,stop_loss,2022-11-15,2022-11-17,5.85,5.557499999999999,-0.05,-0.0531,252800,0.0031,0.35
2022 Bear,sideways,5d_10%,001338.SZ,matured,2022-11-16,2022-11-23,10.8,15.82,0.4648148148148148,0.4617148148148148,187300,0.0031,0.39999999999999997
2022 Bear,recovery,5d_10%,001338.SZ,matured,2022-11-23,2022-11-30,17.4,21.3,0.22413793103448287,0.22103793103448288,147500,0.0031,0.45
2022 Bear,bull,5d_10%,001333.SZ,stop_loss,2022-12-08,2022-12-12,41.95,39.8525,-0.05,-0.0531,23800,0.0031,0.3
2022 Bear,recovery,5d_10%,001256.SZ,stop_loss,2022-12-07,2022-12-13,26.14,24.833,-0.05,-0.0531,191900,0.0031,0.4
2022 Bear,bull,5d_10%,001338.SZ,stop_loss,2022-12-15,2022-12-19,21.8,20.71,-0.05,-0.0531,218500,0.0031,0.25
2022 Bear,recovery,5d_10%,__MARKET_SHOCK__,shock_filter,2022-12-21,2022-12-21,0.0,0.0,0.0,0.0,0,0.0,0.4
2022 Bear,recovery,5d_10%,000597.SZ,stop_loss,2022-12-19,2022-12-23,8.3,7.885000000000001,-0.05,-0.0531,549500,0.0031,0.4
2022 Bear,recovery,5d_10%,__MARKET_SHOCK__,shock_filter,2022-12-23,2022-12-23,0.0,0.0,0.0,0.0,0,0.0,0.4
2023 Sideways,sideways,5d_10%,001301.SZ,stop_loss,2023-01-03,2023-01-04,71.43,67.8585,-0.05,-0.0531,4100,0.0031,0.35
